Product,Category,Unit_Price,Quantity,Discount,Total_Price
Augustiner,Alcoholic Beverages,1.09,8,0.0,8.72
Chardonnay,Alcoholic Beverages,4.88,12,0.0,58.56
Coca-Cola,Soft Drinks,1.07,4,0.0,4.28
Granini Apple,Juices,1.64,6,0.0,9.84
Passion Fruit Juice,Juices,2.75,54,0.1,133.65
Selters,Water,0.47,2,0.0,0.94
Tomato Juice,Juices,3.23,15,0.0,48.45
Mountain Dew,Soft Drinks,0.99,2,0.0,1.98
Monster,Soft Drinks,3.16,82,0.15,220.25
Warsteiner,Alcoholic Beverages,1.58,99,0.1,140.78
Vittel,Water,0.79,82,0.1,58.3
Fritz-Kola,Soft Drinks,1.98,36,0.05,67.72
Monster,Soft Drinks,2.38,63,0.05,142.44
Jack Daniels,Alcoholic Beverages,51.76,2,0.0,103.52
Warsteiner,Alcoholic Beverages,1.02,11,0.0,11.22
Club Mate,Soft Drinks,2.19,8,0.0,17.52
Sprite,Soft Drinks,0.53,11,0.0,5.83
Merlot,Alcoholic Beverages,4.48,7,0.0,31.36
Granini Apple,Juices,1.59,6,0.0,9.54
Selters,Water,0.48,41,0.05,18.7
Riesling,Alcoholic Beverages,4.19,15,0.0,62.85
Sprite,Soft Drinks,0.56,4,0.0,2.24
Gerolsteiner,Water,1.01,8,0.0,8.08
Warsteiner,Alcoholic Beverages,1.05,5,0.0,5.25
Fritz-Kola,Soft Drinks,2.12,3,0.0,6.36
Sauvignon Blanc,Alcoholic Beverages,8.83,4,0.0,35.32
Apollinaris,Water,0.96,5,0.0,4.8
Coca-Cola,Soft Drinks,1.21,9,0.0,10.89
Granini Apple,Juices,1.69,1,0.0,1.69
Cranberry Juice,Juices,3.46,2,0.0,6.92
Jack Daniels,Alcoholic Beverages,19.69,30,0.1,531.63
San Pellegrino,Water,0.89,10,0.0,8.9
Club Mate,Soft Drinks,2.19,1,0.0,2.19
Chardonnay,Alcoholic Beverages,4.1,56,0.05,218.12
Hohes C Orange,Juices,1.8,7,0.0,12.6
Bacardi,Alcoholic Beverages,13.44,5,0.0,67.2
San Pellegrino,Water,0.86,10,0.0,8.6
Rauch Multivitamin,Juices,1.89,98,0.1,166.7
Club Mate,Soft Drinks,2.29,97,0.1,199.92
Sprite,Soft Drinks,0.55,14,0.0,7.7
Evian,Water,1.13,10,0.05,10.73
Fritz-Kola,Soft Drinks,2.12,13,0.0,27.56
Augustiner,Alcoholic Beverages,1.47,63,0.1,83.35
Beck's,Alcoholic Beverages,1.41,14,0.0,19.74
Moët & Chandon,Alcoholic Beverages,60.58,4,0.0,242.32
Club Mate,Soft Drinks,2.18,65,0.1,127.53
Pepsi,Soft Drinks,1.08,89,0.1,86.51
Rockstar,Soft Drinks,2.34,13,0.0,30.42
Moët & Chandon,Alcoholic Beverages,87.61,64,0.05,5326.69
San Pellegrino,Water,0.41,13,0.05,5.06
Mountain Dew,Soft Drinks,0.96,12,0.0,11.52
Bacardi,Alcoholic Beverages,13.44,14,0.0,188.16
Beck's,Alcoholic Beverages,1.37,11,0.0,15.07
Vio Wasser,Water,1.61,3,0.0,4.83
Cranberry Juice,Juices,3.46,4,0.0,13.84
Coca-Cola,Soft Drinks,1.1,5,0.0,5.5
Rockstar,Soft Drinks,1.91,27,0.1,46.41
Volvic,Water,0.58,6,0.0,3.48
Schwip Schwap,Soft Drinks,1.27,3,0.0,3.81
Veuve Clicquot,Alcoholic Beverages,109.19,10,0.0,1091.9
Rockstar,Soft Drinks,2.27,48,0.1,98.06
Granini Apple,Juices,1.69,5,0.0,8.45
Coca-Cola,Soft Drinks,1.1,5,0.0,5.5
Volvic,Water,0.4,24,0.05,9.12
Rockstar,Soft Drinks,2.19,23,0.05,47.85
Club Mate,Soft Drinks,2.13,6,0.0,12.78
Passion Fruit Juice,Juices,4.32,75,0.1,291.6
Pepsi,Soft Drinks,1.68,11,0.0,18.48
Mango Juice,Juices,3.31,6,0.0,19.86
Hohes C Orange,Juices,2.16,61,0.05,125.17
Passion Fruit Juice,Juices,2.93,8,0.0,23.44
Passion Fruit Juice,Juices,3.57,47,0.1,151.01
Kölsch,Alcoholic Beverages,1.21,16,0.05,18.39
Mango Juice,Juices,3.21,9,0.0,28.89
Monster,Soft Drinks,3.21,6,0.0,19.26
Fritz-Kola,Soft Drinks,1.99,11,0.0,21.89
Merlot,Alcoholic Beverages,4.35,4,0.0,17.4
Monster,Soft Drinks,3.02,24,0.05,68.86
Riesling,Alcoholic Beverages,9.81,90,0.1,794.61
Erdinger Weißbier,Alcoholic Beverages,1.86,27,0.05,47.71
Fritz-Kola,Soft Drinks,2.05,7,0.0,14.35
Chardonnay,Alcoholic Beverages,4.88,15,0.0,73.2
Passion Fruit Juice,Juices,3.11,1,0.0,3.11
Monster,Soft Drinks,3.31,11,0.0,36.41
Mezzo Mix,Soft Drinks,0.61,9,0.0,5.49
Cranberry Juice,Juices,4.52,99,0.1,402.73
Apollinaris,Water,0.96,11,0.0,10.56
Vio Wasser,Water,1.71,8,0.0,13.68
Cranberry Juice,Juices,3.56,2,0.0,7.12
Pepsi,Soft Drinks,1.53,1,0.0,1.53
Jever,Alcoholic Beverages,1.94,15,0.0,29.1
Vittel,Water,0.56,10,0.0,5.6
Veuve Clicquot,Alcoholic Beverages,106.01,10,0.0,1060.1
Tomato Juice,Juices,3.08,100,0.05,292.6
Vittel,Water,0.56,4,0.0,2.24
Hohes C Orange,Juices,1.8,7,0.0,12.6
Passion Fruit Juice,Juices,2.93,13,0.0,38.09
Hohes C Orange,Juices,2.16,38,0.05,77.98
Club Mate,Soft Drinks,2.13,6,0.0,12.78
Red Bull,Soft Drinks,2.28,6,0.0,13.68
Rockstar,Soft Drinks,2.27,6,0.0,13.62
Warsteiner,Alcoholic Beverages,1.05,5,0.0,5.25
Vio Wasser,Water,1.61,6,0.0,9.66
Evian,Water,1.23,3,0.0,3.69
Fritz-Kola,Soft Drinks,2.05,15,0.0,30.75
Vio Wasser,Water,1.69,66,0.1,100.39
Jever,Alcoholic Beverages,1.99,7,0.0,13.93
Cranberry Juice,Juices,3.56,9,0.0,32.04
Apollinaris,Water,0.96,1,0.0,0.96
Tomato Juice,Juices,3.23,3,0.0,9.69
Kölsch,Alcoholic Beverages,1.26,51,0.05,61.05
Riesling,Alcoholic Beverages,11.63,29,0.1,303.54
Evian,Water,1.31,5,0.0,6.55
Veuve Clicquot,Alcoholic Beverages,95.35,100,0.15,8104.75
Mango Juice,Juices,3.21,4,0.0,12.84
Rauch Multivitamin,Juices,2.68,24,0.1,57.89
San Pellegrino,Water,1.07,100,0.15,90.95
Krombacher,Alcoholic Beverages,1.63,3,0.0,4.89
Johnnie Walker,Alcoholic Beverages,35.52,15,0.0,532.8
Sprite,Soft Drinks,0.55,9,0.0,4.95
Riesling,Alcoholic Beverages,5.87,30,0.05,167.3
Evian,Water,1.01,28,0.15,24.04
Passion Fruit Juice,Juices,3.02,12,0.0,36.24
Apollinaris,Water,0.8,31,0.05,23.56
Apollinaris,Water,0.96,12,0.0,11.52
Apollinaris,Water,0.93,14,0.0,13.02
Tomato Juice,Juices,2.03,68,0.05,131.14
Sprite,Soft Drinks,0.53,7,0.0,3.71
Fanta,Soft Drinks,1.19,3,0.0,3.57
Vio Wasser,Water,1.71,2,0.0,3.42
Selters,Water,1.22,73,0.1,80.15
Hohes C Orange,Juices,1.75,3,0.0,5.25
Volvic,Water,0.58,2,0.0,1.16
Passion Fruit Juice,Juices,2.58,97,0.1,225.23
Riesling,Alcoholic Beverages,11.7,9,0.1,94.77
Beck's,Alcoholic Beverages,0.91,17,0.05,14.7
Hohes C Orange,Juices,1.86,13,0.0,24.18
Havana Club,Alcoholic Beverages,12.58,12,0.0,150.96
Passion Fruit Juice,Juices,3.59,73,0.1,235.86
Monster,Soft Drinks,2.06,19,0.05,37.18
Kölsch,Alcoholic Beverages,0.99,6,0.0,5.94
Rockstar,Soft Drinks,2.27,15,0.0,34.05
Tomato Juice,Juices,3.23,3,0.0,9.69
Pepsi,Soft Drinks,1.58,11,0.0,17.38
Tanqueray,Alcoholic Beverages,47.88,31,0.1,1335.85
Johnnie Walker,Alcoholic Beverages,46.36,94,0.15,3704.16
Augustiner,Alcoholic Beverages,1.09,6,0.0,6.54
Tomato Juice,Juices,3.23,6,0.0,19.38
Volvic Touch,Water,1.38,1,0.0,1.38
Apollinaris,Water,0.93,5,0.0,4.65
Havana Club,Alcoholic Beverages,12.58,9,0.0,113.22
Selters,Water,0.52,45,0.05,22.23
Granini Apple,Juices,1.64,1,0.0,1.64
Tomato Juice,Juices,3.43,5,0.0,17.15
Jack Daniels,Alcoholic Beverages,50.25,15,0.0,753.75
Krombacher,Alcoholic Beverages,1.82,76,0.1,124.49
Selters,Water,1.15,17,0.05,18.57
Riesling,Alcoholic Beverages,5.18,71,0.05,349.39
Gerolsteiner,Water,1.07,1,0.0,1.07
Volvic Touch,Water,1.03,12,0.05,11.74
Volvic Touch,Water,1.42,2,0.0,2.84
Moët & Chandon,Alcoholic Beverages,57.11,1,0.0,57.11
Gerolsteiner,Water,1.07,15,0.0,16.05
Coca-Cola,Soft Drinks,1.04,12,0.0,12.48
Mountain Dew,Soft Drinks,1.19,67,0.1,71.76
Mango Juice,Juices,2.76,8,0.05,20.98
Jack Daniels,Alcoholic Beverages,21.06,26,0.1,492.8
Tomato Juice,Juices,3.33,6,0.0,19.98
Vittel,Water,0.56,12,0.0,6.72
Mountain Dew,Soft Drinks,0.96,6,0.0,5.76
Augustiner,Alcoholic Beverages,1.09,14,0.0,15.26
Monster,Soft Drinks,3.21,4,0.0,12.84
Apollinaris,Water,0.96,12,0.0,11.52
Warsteiner,Alcoholic Beverages,1.71,84,0.05,136.46
Granini Apple,Juices,1.17,29,0.1,30.54
Selters,Water,0.46,15,0.0,6.9
Evian,Water,0.94,43,0.05,38.4
Coca-Cola,Soft Drinks,1.07,6,0.0,6.42
Veuve Clicquot,Alcoholic Beverages,109.19,11,0.0,1201.09
Passion Fruit Juice,Juices,2.4,43,0.1,92.88
Gerolsteiner,Water,1.06,88,0.1,83.95
Pepsi,Soft Drinks,1.49,1,0.0,1.49
Club Mate,Soft Drinks,2.26,11,0.0,24.86
Apollinaris,Water,0.96,6,0.0,5.76
Volvic Touch,Water,1.42,4,0.0,5.68
Mezzo Mix,Soft Drinks,0.63,11,0.0,6.93
Mezzo Mix,Soft Drinks,0.63,3,0.0,1.89
Riesling,Alcoholic Beverages,4.19,10,0.0,41.9
Passion Fruit Juice,Juices,3.02,10,0.0,30.2
Selters,Water,0.51,8,0.05,3.88
Jever,Alcoholic Beverages,1.94,14,0.0,27.16
Rotkäppchen Sekt,Alcoholic Beverages,6.2,84,0.1,468.72
Evian,Water,1.55,79,0.05,116.33
Sprite,Soft Drinks,0.56,14,0.0,7.84
Rockstar,Soft Drinks,2.27,8,0.0,18.16
Apollinaris,Water,0.38,69,0.05,24.91
Vittel,Water,0.58,13,0.0,7.54
Vittel,Water,0.56,13,0.0,7.28
Sauvignon Blanc,Alcoholic Beverages,8.83,14,0.0,123.62
Warsteiner,Alcoholic Beverages,1.02,5,0.0,5.1
Schwip Schwap,Soft Drinks,1.11,70,0.1,69.93
Chardonnay,Alcoholic Beverages,4.74,14,0.0,66.36
Krombacher,Alcoholic Beverages,1.05,5,0.05,4.99
Vio Wasser,Water,1.35,60,0.05,76.95
Rauch Multivitamin,Juices,2.43,32,0.05,73.87
Schwip Schwap,Soft Drinks,1.27,5,0.0,6.35
Vio Wasser,Water,1.59,88,0.1,125.93
Volvic Touch,Water,1.08,19,0.05,19.49
Club Mate,Soft Drinks,2.64,84,0.1,199.58
Schwip Schwap,Soft Drinks,0.95,24,0.1,20.52
Volvic Touch,Water,1.19,22,0.05,24.87
Gerolsteiner,Water,1.01,15,0.0,15.15
Bacardi,Alcoholic Beverages,13.84,2,0.0,27.68
Gerolsteiner,Water,1.14,4,0.05,4.33
Sprite,Soft Drinks,0.56,5,0.0,2.8
Passion Fruit Juice,Juices,3.02,12,0.0,36.24
Vittel,Water,0.57,32,0.05,17.33
Fritz-Kola,Soft Drinks,2.12,12,0.0,25.44
Monster,Soft Drinks,2.25,44,0.1,89.1
Sprite,Soft Drinks,0.55,11,0.0,6.05
Kölsch,Alcoholic Beverages,0.99,5,0.0,4.95
Mango Juice,Juices,3.21,11,0.0,35.31
Vittel,Water,0.59,13,0.0,7.67
Mezzo Mix,Soft Drinks,0.88,42,0.1,33.26
Vio Wasser,Water,1.03,33,0.05,32.29
Passion Fruit Juice,Juices,3.02,10,0.0,30.2
Mountain Dew,Soft Drinks,1.17,29,0.05,32.23
Vittel,Water,0.58,3,0.0,1.74
Mezzo Mix,Soft Drinks,0.63,5,0.0,3.15
Rauch Multivitamin,Juices,3.3,87,0.1,258.39
Mango Juice,Juices,2.45,5,0.1,11.02
Gerolsteiner,Water,1.01,7,0.0,7.07
Granini Apple,Juices,1.69,15,0.0,25.35
Monster,Soft Drinks,3.31,9,0.0,29.79
Augustiner,Alcoholic Beverages,3.31,77,0.15,216.64
Fanta,Soft Drinks,1.36,88,0.15,101.73
Rotkäppchen Sekt,Alcoholic Beverages,8.05,4,0.0,32.2
Krombacher,Alcoholic Beverages,1.59,8,0.0,12.72
Rotkäppchen Sekt,Alcoholic Beverages,3.31,31,0.05,97.48
Jack Daniels,Alcoholic Beverages,51.76,5,0.0,258.8
Tomato Juice,Juices,3.23,4,0.0,12.92
Coca-Cola,Soft Drinks,1.1,8,0.0,8.8
Mezzo Mix,Soft Drinks,1.59,69,0.15,93.25
Merlot,Alcoholic Beverages,4.48,10,0.0,44.8
Augustiner,Alcoholic Beverages,1.16,6,0.0,6.96
Tomato Juice,Juices,3.43,3,0.0,10.29
Warsteiner,Alcoholic Beverages,1.08,8,0.0,8.64
Rauch Multivitamin,Juices,2.38,10,0.0,23.8
Fritz-Kola,Soft Drinks,2.05,6,0.0,12.3
Red Bull,Soft Drinks,2.22,5,0.0,11.1
Rockstar,Soft Drinks,2.27,3,0.0,6.81
Mountain Dew,Soft Drinks,0.96,2,0.0,1.92
Apollinaris,Water,0.99,5,0.0,4.95
Augustiner,Alcoholic Beverages,1.16,10,0.0,11.6
Coca-Cola,Soft Drinks,1.14,1,0.0,1.14
Volvic Touch,Water,0.66,8,0.05,5.02
Selters,Water,0.49,8,0.0,3.92
Club Mate,Soft Drinks,2.1,49,0.05,97.76
Monster,Soft Drinks,3.12,12,0.0,37.44
Granini Apple,Juices,1.69,9,0.0,15.21
Evian,Water,1.48,52,0.1,69.26
Granini Apple,Juices,1.59,6,0.0,9.54
Passion Fruit Juice,Juices,3.64,52,0.1,170.35
Vittel,Water,0.87,53,0.1,41.5
Vio Wasser,Water,0.74,9,0.05,6.33
Hohes C Orange,Juices,1.86,1,0.0,1.86
Merlot,Alcoholic Beverages,4.22,5,0.0,21.1
Rauch Multivitamin,Juices,2.85,31,0.05,83.93
Selters,Water,0.69,66,0.05,43.26
Sauvignon Blanc,Alcoholic Beverages,7.21,39,0.1,253.07
Apollinaris,Water,0.93,12,0.0,11.16
Krombacher,Alcoholic Beverages,1.63,4,0.0,6.52
Volvic Touch,Water,1.42,10,0.0,14.2
Red Bull,Soft Drinks,3.27,28,0.1,82.4
Selters,Water,0.46,1,0.0,0.46
Erdinger Weißbier,Alcoholic Beverages,1.7,23,0.05,37.15
Warsteiner,Alcoholic Beverages,1.05,1,0.0,1.05
Passion Fruit Juice,Juices,3.29,2,0.05,6.25
Sprite,Soft Drinks,1.26,45,0.1,51.03
Selters,Water,0.46,8,0.0,3.68
Veuve Clicquot,Alcoholic Beverages,109.19,9,0.0,982.71
Fanta,Soft Drinks,0.66,17,0.05,10.66
Fritz-Kola,Soft Drinks,1.93,11,0.05,20.17
Passion Fruit Juice,Juices,3.11,2,0.0,6.22
Sauvignon Blanc,Alcoholic Beverages,9.09,5,0.0,45.45
Selters,Water,0.49,12,0.0,5.88
Mango Juice,Juices,4.37,82,0.15,304.59
Riesling,Alcoholic Beverages,5.03,2,0.0,10.06
Merlot,Alcoholic Beverages,4.22,3,0.0,12.66
Selters,Water,0.59,10,0.05,5.6
Veuve Clicquot,Alcoholic Beverages,30.8,18,0.05,526.68
Beck's,Alcoholic Beverages,1.55,15,0.0,23.25
Mango Juice,Juices,3.12,15,0.0,46.8
Merlot,Alcoholic Beverages,4.06,48,0.15,165.65
Cranberry Juice,Juices,3.36,67,0.1,202.61
Tomato Juice,Juices,2.63,57,0.05,142.41
Volvic Touch,Water,1.9,69,0.15,111.43
Passion Fruit Juice,Juices,3.11,1,0.0,3.11
Passion Fruit Juice,Juices,2.93,2,0.0,5.86
Apollinaris,Water,0.98,33,0.1,29.11
Tomato Juice,Juices,3.7,74,0.1,246.42
Tanqueray,Alcoholic Beverages,35.65,6,0.0,213.9
Havana Club,Alcoholic Beverages,13.35,14,0.0,186.9
Vittel,Water,0.59,5,0.0,2.95
Tomato Juice,Juices,1.69,76,0.05,122.02
Mountain Dew,Soft Drinks,1.13,94,0.1,95.6
Rotkäppchen Sekt,Alcoholic Beverages,8.05,10,0.0,80.5
Passion Fruit Juice,Juices,3.07,32,0.15,83.5
Tanqueray,Alcoholic Beverages,34.61,2,0.0,69.22
Rockstar,Soft Drinks,2.21,12,0.0,26.52
Tomato Juice,Juices,3.33,14,0.0,46.62
Granini Apple,Juices,2.64,100,0.1,237.6
Rauch Multivitamin,Juices,2.45,8,0.0,19.6
Veuve Clicquot,Alcoholic Beverages,109.19,8,0.0,873.52
Passion Fruit Juice,Juices,3.11,10,0.0,31.1
Warsteiner,Alcoholic Beverages,1.37,93,0.1,114.67
Hohes C Orange,Juices,1.86,3,0.0,5.58
Apollinaris,Water,0.96,9,0.0,8.64
Granini Apple,Juices,1.24,25,0.05,29.45
Mango Juice,Juices,3.21,15,0.0,48.15
Cranberry Juice,Juices,3.93,70,0.1,247.59
Hohes C Orange,Juices,1.8,7,0.0,12.6
Vittel,Water,0.56,12,0.0,6.72
Mezzo Mix,Soft Drinks,0.61,12,0.0,7.32
Selters,Water,0.46,8,0.0,3.68
Moët & Chandon,Alcoholic Beverages,60.58,11,0.0,666.38
Beck's,Alcoholic Beverages,2.45,72,0.15,149.94
Rauch Multivitamin,Juices,2.14,37,0.05,75.22
Vittel,Water,0.59,15,0.0,8.85
Evian,Water,1.31,1,0.0,1.31
Volvic Touch,Water,1.42,7,0.0,9.94
Vio Wasser,Water,1.61,9,0.0,14.49
Rauch Multivitamin,Juices,2.03,36,0.05,69.43
Rauch Multivitamin,Juices,2.38,13,0.0,30.94
Fritz-Kola,Soft Drinks,1.99,5,0.0,9.95
Bacardi,Alcoholic Beverages,30.56,77,0.1,2117.81
Volvic,Water,0.55,14,0.0,7.7
Coca-Cola,Soft Drinks,1.21,10,0.0,12.1
Moët & Chandon,Alcoholic Beverages,60.58,5,0.0,302.9
Monster,Soft Drinks,2.95,27,0.05,75.67
Evian,Water,0.76,43,0.1,29.41
Rauch Multivitamin,Juices,2.4,1,0.1,2.16
Vio Wasser,Water,1.16,69,0.05,76.04
Veuve Clicquot,Alcoholic Beverages,109.19,3,0.0,327.57
San Pellegrino,Water,0.86,11,0.0,9.46
Volvic,Water,0.57,8,0.0,4.56
Passion Fruit Juice,Juices,2.93,7,0.0,20.51
Chardonnay,Alcoholic Beverages,7.43,47,0.1,314.29
Apollinaris,Water,0.94,84,0.1,71.06
Beck's,Alcoholic Beverages,1.37,14,0.0,19.18
Erdinger Weißbier,Alcoholic Beverages,1.92,4,0.0,7.68
Augustiner,Alcoholic Beverages,1.09,10,0.0,10.9
Pepsi,Soft Drinks,1.49,6,0.0,8.94
Selters,Water,0.72,51,0.1,33.05
Sprite,Soft Drinks,0.63,57,0.1,32.32
